Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Charges Per Month,Num Services,Tenure Group,High Value Customer,Auto Payment,Churn Probability,SHAP Magnitude,Actual Churn,Risk Tier
1,0,1,1,-1.2827281667186554,1,0,0,0,0,0,0,0,1,0,-1.4967274614632615,-1.0001548540074303,0,0,1,0,1,0,0,-1.6167761836120955,1,0,0,1,0.0258,0.2138,0,Low
1,0,0,0,0.0216258307242325,1,0,0,1,1,0,0,0,0,1,0.4705548205186328,0.1279301079880988,0,1,0,0,1,0,0,0.5450905075688245,3,2,0,1,0.3344,0.1574,0,Medium
0,0,0,1,0.3477143300849545,1,1,0,1,0,0,1,0,0,1,0.7865173172021155,0.5992247209651708,0,1,0,1,0,0,0,0.9061675437514864,4,2,0,1,0.0415,0.2353,0,Low
1,0,0,0,1.4890240778474817,1,0,0,0,0,0,0,0,2,1,-1.5216718690961684,-0.4491162660286212,0,0,1,0,0,0,1,-1.3476096657304748,1,3,0,0,0.0228,0.2073,0,Low
1,0,1,1,-0.4267458558967602,1,0,0,1,1,0,1,1,1,1,1.170661194748876,-0.086727878385872,0,1,0,0,0,0,1,1.0404225508412213,5,1,1,0,0.0313,0.2264,0,Low
1,0,1,0,1.4482630154273912,1,1,1,1,1,1,1,1,2,1,0.9095763948577876,1.8115096145185507,1,0,0,0,1,0,0,1.098523128481523,8,3,1,1,0.0233,0.1783,0,Low
0,0,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,-1.5083681850252848,-1.0003092683435333,0,0,1,0,0,0,1,-1.6226847169314482,1,0,0,0,0.6742,0.1649,0,High
1,0,0,0,-0.0191352316958577,1,0,0,0,0,0,0,0,1,0,-1.4983904219721222,-0.7408049469270916,0,0,1,0,0,0,1,-1.3380903620492954,1,2,0,0,0.0263,0.206,0,Low
0,0,0,0,0.3069532676648642,1,1,0,0,1,1,1,1,1,1,1.3668905347944074,0.903707732569314,0,1,0,0,1,0,0,1.52820480153889,6,2,1,1,0.642,0.203,0,High
0,1,1,1,-0.9974007297780236,1,1,0,1,0,0,0,0,0,1,0.5254325173110274,-0.7295106412007045,0,1,0,0,1,0,0,0.3671780042860946,3,0,0,1,0.2536,0.1893,1,Low
1,1,0,0,-0.6713122304173017,1,1,0,0,0,0,0,0,0,1,0.3192254142123333,-0.4524251446593987,0,1,0,1,0,0,0,0.4928984632478759,2,1,0,1,0.805,0.1107,0,High
1,0,1,1,0.9591302663863084,1,0,0,1,1,1,0,0,1,1,0.6983804102325122,1.1060346312459208,0,1,0,0,0,0,1,0.8178677958122714,4,3,0,0,0.0047,0.2436,0,Low
0,0,1,0,-1.2419671042985652,1,0,0,0,0,0,0,0,0,1,-0.660258325506463,-0.969316105168584,1,0,0,0,0,1,0,-0.9606007333128762,1,0,0,0,0.7809,0.1297,0,High
1,0,0,0,-1.201206041878475,1,0,0,0,0,1,0,1,0,0,-0.1397516862331468,-0.92204325913021,1,0,0,0,0,0,1,-0.327074660737842,3,0,0,0,0.2556,0.1677,0,Low
0,0,1,0,0.9998913288063984,1,1,0,1,1,0,1,1,0,1,1.3186646800374546,1.6034914445970068,0,1,0,0,1,0,0,1.4083928758964617,6,3,1,1,0.76,0.1951,1,High
0,0,0,0,-1.1196839170382944,1,0,0,0,0,1,0,1,0,1,0.6834137656527687,-0.8210121649371377,0,1,0,0,1,0,0,0.3872013672016785,3,0,0,1,0.7669,0.1655,1,High
0,0,1,1,-0.8751175425177529,1,0,0,0,0,0,0,0,0,1,-1.516682987569587,-0.929366910499664,0,0,1,0,0,0,1,-1.4496959914148455,1,0,0,0,0.0761,0.1835,1,Low
1,0,0,0,-0.2229405437963089,1,0,0,0,0,0,0,0,1,0,-1.481760816883518,-0.7463859222176698,0,0,1,0,0,0,1,-1.2451950881950289,1,2,0,0,0.0224,0.2107,0,Low
0,0,1,0,1.407501953007301,1,1,0,0,0,0,0,0,2,1,-1.3171277265063348,-0.2442746195926235,0,0,1,0,1,0,0,-1.1060163033391663,2,3,0,1,0.0069,0.2465,0,Low
1,0,1,1,1.6113072651077522,1,1,0,0,0,0,0,1,2,1,0.6534804764932807,1.6959194543500575,0,1,0,0,1,0,0,0.81392877359937,3,3,0,1,0.0057,0.2423,0,Low
0,0,0,0,-0.7935954176775724,1,1,0,0,0,0,0,0,0,1,0.337517979809798,-0.5679711864461482,0,1,0,0,0,0,1,0.4006596930957594,2,1,0,0,0.7453,0.1239,1,High
1,0,0,0,-1.1604449794583849,1,1,0,0,0,0,0,0,0,0,-0.4806585905495361,-0.9177637761010712,1,0,0,0,0,0,1,-0.5863936230872083,2,0,0,0,0.6744,0.1397,1,High
1,0,0,0,-1.038161792198114,1,0,0,0,0,0,0,0,0,1,-1.4934015404455407,-0.9438377397115976,0,0,1,0,0,0,1,-1.337433858347145,1,0,0,0,0.2737,0.1726,0,Low
1,0,1,1,-0.712073292837392,1,0,0,0,0,0,0,0,1,0,-1.5033793034987035,-0.8621525559131377,0,0,1,0,0,0,1,-1.2602946733444855,1,1,0,0,0.0092,0.2116,0,Low
0,0,1,1,-0.0191352316958577,1,0,1,1,0,1,0,0,0,0,-0.1148072786002403,-0.1862589475996584,1,0,0,1,0,0,0,-0.0881073131551348,4,2,0,1,0.033,0.2036,0,Low
0,0,0,1,-0.2637016062163992,1,1,0,0,0,0,0,0,0,1,-0.5105918797090239,-0.4505280542444195,1,0,0,0,0,0,1,-0.4038855938894264,2,2,0,0,0.0539,0.2151,0,Low
1,1,0,0,-0.0191352316958577,1,0,0,0,0,0,0,0,1,0,-1.4983904219721222,-0.7496286232758316,0,0,1,0,1,0,0,-1.3581137249648796,1,2,0,1,0.0078,0.2267,0,Low
1,0,1,0,-1.2419671042985652,1,0,0,0,1,1,0,1,0,0,0.8364061324679285,-0.9250653682796534,0,1,0,0,1,0,0,0.1367452048313411,4,0,1,1,0.4841,0.1803,1,Medium
1,0,1,0,-0.9566396673579334,0,0,0,0,0,1,1,0,0,0,-0.8049358897773209,-0.8637849360376545,1,0,0,0,0,0,1,-0.8631099335435575,2,0,0,0,0.4359,0.1778,1,Medium
1,0,1,1,-0.9158786049378432,1,0,0,0,1,0,1,0,0,0,-0.1547183308128906,-0.7603052716578069,1,0,0,0,0,0,1,-0.2610960386717375,3,0,0,0,0.0969,0.1859,0,Low
0,0,1,0,1.6113072651077522,1,1,1,1,1,1,1,1,2,1,1.6861789524956108,2.658384011279737,0,1,0,0,1,0,0,1.7950735564629852,8,3,1,1,0.0141,0.2515,0,Low
0,0,1,1,-0.4267458558967602,1,0,0,0,0,0,0,0,0,0,-1.5233348296050289,-0.8085928404762862,0,0,1,1,0,0,0,-1.294761117707376,1,1,0,1,0.0331,0.1988,0,Low
0,0,0,0,-0.8751175425177529,1,0,0,0,0,0,0,0,1,0,-1.4917385799366805,-0.9154034426777832,0,0,1,0,0,0,1,-1.3630375027310069,1,0,0,0,0.0344,0.2042,0,Low
0,0,0,0,0.8368470791260375,1,1,1,0,1,0,1,1,1,1,1.400149744971616,1.5435566229981903,0,1,0,0,1,0,0,1.5741600606894108,6,3,1,1,0.4602,0.2037,1,Medium
0,0,0,0,-1.038161792198114,1,0,1,1,1,0,0,0,0,0,-0.1148072786002403,-0.8152767753104567,1,0,0,0,0,1,0,-0.141940616731459,4,0,0,0,0.2565,0.1603,0,Low
1,0,0,0,-0.5490290431570309,1,0,0,1,0,1,0,1,1,1,0.0165666015997338,-0.4654400672737901,1,0,0,1,0,0,0,0.0789728790421152,4,1,0,1,0.079,0.1642,0,Low
1,1,0,0,-0.6305511679972114,1,0,0,0,0,0,0,0,0,1,-0.6585953649976026,-0.6689361030666049,1,0,0,0,0,1,0,-0.5374840972770113,1,1,0,0,0.5251,0.1259,1,Medium
0,0,0,0,-1.1196839170382944,1,1,1,0,0,0,0,0,0,1,-0.3675772759470265,-0.8836382078223194,1,0,0,0,0,1,0,-0.3894425124421199,3,0,0,0,0.5257,0.1444,0,Medium
0,0,0,0,-0.9974007297780236,1,1,0,0,0,0,1,1,0,0,1.0243206699691578,-0.6656272244358274,0,1,0,1,0,0,0,0.8953352326660061,4,0,1,1,0.9258,0.1477,1,High
0,1,0,0,1.6113072651077522,1,1,1,1,1,1,1,1,2,1,1.7460455308145864,2.7130246270693097,0,1,0,0,1,0,0,1.85087637114576,8,3,1,1,0.0115,0.2498,0,Low
0,0,0,0,-1.038161792198114,1,0,0,0,0,0,0,0,0,1,0.1678960079060338,-0.7895116403721362,0,1,0,0,0,0,1,0.0976832345533984,1,0,0,0,0.7604,0.1455,0,High
0,0,0,0,-0.3044626686364894,1,0,0,0,0,0,0,0,0,0,-1.5233348296050289,-0.8053942577998681,0,0,1,0,0,0,1,-1.3604114879224054,1,2,0,0,0.12,0.1928,0,Low
0,0,0,0,-1.1604449794583849,1,1,0,1,0,0,0,1,0,1,0.8014839617818594,-0.8522038608299334,0,1,0,0,0,1,0,0.3891708783081295,4,0,0,0,0.8604,0.1358,1,High
1,1,1,0,-0.1414184189561284,1,1,0,1,1,0,0,1,0,1,1.03263547251346,0.2022254628444889,0,1,0,0,0,1,0,1.0611024174589558,5,2,1,0,0.7894,0.1649,1,High
0,0,1,0,1.2852187657470302,1,0,0,0,0,0,0,0,2,0,-1.510031145534145,-0.4681754069418994,0,0,1,0,1,0,0,-1.323647280601989,1,3,0,1,0.0093,0.2346,0,Low
1,0,0,0,-0.5897901055771212,1,1,0,0,0,0,0,0,0,0,0.3092476511591708,-0.39699039799844,0,1,0,0,0,0,1,0.4535082411188581,2,1,0,0,0.3865,0.1539,0,Medium
1,0,1,0,1.4890240778474817,1,0,0,0,0,0,0,0,2,0,-1.4950645009544017,-0.4073802768990813,0,0,1,0,0,0,1,-1.30329566583533,1,3,0,0,0.0077,0.2469,0,Low
0,0,1,1,1.6113072651077522,1,1,0,0,0,0,0,0,2,0,-1.3670165417721478,-0.2680544273524777,0,0,1,1,0,0,0,-1.187751014256878,2,3,0,1,0.0019,0.2564,0,Low
0,0,0,0,-0.2229405437963089,1,0,0,1,0,1,0,0,0,1,-0.289418132030586,-0.3738944251556133,1,0,0,0,0,0,1,-0.2551875053523849,3,2,0,0,0.3209,0.1697,0,Medium
0,0,1,0,-0.0191352316958577,1,1,0,0,1,0,0,1,0,1,0.8713283031539976,0.2945652358340525,0,1,0,1,0,0,0,0.9961085509460766,4,2,1,1,0.5491,0.1618,1,Medium
0,0,0,0,-1.2419671042985652,1,0,0,1,0,0,0,0,0,1,-0.5255585242887678,-0.9687205070150444,1,0,0,0,1,0,0,-0.9458294000144946,2,0,0,1,0.7829,0.1377,1,High
0,1,1,0,0.9591302663863084,1,1,1,1,1,1,0,0,1,0,1.0243206699691578,1.4051352002773327,0,1,0,0,0,1,0,1.208487498591697,6,3,1,0,0.2462,0.1657,0,Low
0,1,0,1,-0.1006573565360382,1,1,0,0,0,1,1,1,0,1,1.2122352074703868,0.3033889121827924,0,1,0,0,0,1,0,1.2068462393363213,5,2,1,0,0.1999,0.2251,0,Low
1,0,1,1,1.6113072651077522,1,1,1,1,1,1,0,1,2,1,1.3319683641083384,2.402607693120639,0,1,0,0,1,0,0,1.5344415867093182,7,3,1,1,0.0067,0.2733,0,Low
1,0,0,1,-1.2827281667186554,1,0,0,1,0,0,0,0,0,1,-0.4972881956381404,-0.9868972802934484,1,0,0,0,0,1,0,-1.1237419032972245,2,0,0,0,0.597,0.1876,0,Medium
0,0,1,0,1.040652391226489,1,1,1,1,0,1,1,1,2,1,1.4716570468526144,1.8118625615725,0,1,0,0,1,0,0,1.614535038371654,7,3,1,1,0.4922,0.2048,0,Medium
0,0,1,0,1.4482630154273912,1,1,1,1,1,1,1,1,2,0,1.6645604658804254,2.451534978474402,0,1,0,1,0,0,0,1.788508519441482,8,3,1,1,0.6296,0.21,0,High
1,0,1,1,0.8776081415461278,1,0,0,1,0,1,0,0,2,1,0.5021510701869811,0.9155535180674976,0,1,0,1,0,0,0,0.6606351591472761,3,3,0,1,0.0044,0.2272,0,Low
0,0,1,0,-0.1821794813762187,1,0,0,0,0,0,0,1,0,1,0.5387362013819106,-0.026351872969619,0,1,0,0,0,1,0,0.578243944527414,2,2,0,0,0.678,0.1349,1,High
1,0,1,0,1.081413453646579,1,1,1,1,1,1,1,1,2,0,1.6263123741766352,1.8858049693749408,0,1,0,0,0,1,0,1.6467037197770182,8,3,1,0,0.2535,0.1877,0,Low
0,0,1,1,1.4482630154273912,1,1,1,1,1,1,0,1,1,1,0.4522622549211681,1.3440753599440525,1,0,0,0,0,1,0,0.5943282852300965,7,3,0,0,0.0189,0.2017,0,Low
0,0,1,0,-0.4675069183168504,0,0,1,0,0,0,0,0,0,0,-1.2090352934304065,-0.7312533172795808,1,0,0,0,0,1,0,-1.0036017258037204,1,1,0,0,0.4957,0.1568,0,Medium
0,0,1,1,0.103147955564413,0,0,0,0,0,1,1,0,1,0,-0.7966210872330187,-0.3984904229777258,1,0,0,0,0,0,1,-0.6812584080479259,2,2,0,0,0.011,0.236,0,Low
0,1,1,1,1.5297851402675715,1,1,0,1,1,1,1,1,1,1,1.4317459946399644,2.2893116888028184,0,1,0,0,0,1,0,1.5134334682405088,7,3,1,0,0.0069,0.2483,0,Low
1,0,1,0,-1.078922854618204,1,1,0,0,0,0,0,0,0,1,0.3541475848984023,-0.81567384074615,0,1,0,0,0,1,0,0.1111415604474795,2,0,0,0,0.8894,0.1168,1,High
0,0,1,0,0.9591302663863084,1,1,1,1,1,0,1,1,1,0,1.4949384939766606,1.6865663574203928,0,1,0,1,0,0,0,1.5758013199447864,7,3,1,1,0.4888,0.1748,0,Medium
1,0,0,0,-1.201206041878475,1,0,0,1,1,1,1,1,0,1,1.4334089551488247,-0.8683511885481275,0,1,0,0,0,1,0,0.6717957220838313,6,0,1,0,0.7891,0.1751,0,High
1,0,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,1,-0.6319879968558355,-0.9886840747540684,1,0,0,0,0,0,1,-1.1903770290654792,1,0,0,0,0.7823,0.1622,1,High
0,1,0,0,-0.5082679807369407,1,1,0,0,0,0,0,1,0,1,0.6967174497236519,-0.2467673081611426,0,1,0,0,1,0,0,0.7574694552144446,3,1,0,1,0.7882,0.1408,1,High
1,0,0,1,0.7960860167059473,1,1,0,0,0,0,0,0,2,0,-1.3054870029443115,-0.4201525484138824,0,0,1,0,1,0,0,-1.116192110722496,2,3,0,1,0.0041,0.2433,0,Low
1,1,1,0,0.5515196421854057,1,0,0,0,0,0,0,1,0,1,0.5171177147667252,0.5816435458403062,0,1,0,0,0,1,0,0.5752896778677375,2,2,0,0,0.5432,0.1464,1,Medium
1,0,0,0,-0.9566396673579334,0,0,0,0,0,0,1,1,0,1,-0.6469546414355796,-0.8241445700409404,1,0,0,0,0,1,0,-0.568011519427,2,0,0,0,0.8877,0.1337,1,High
1,0,1,0,1.4482630154273912,1,1,1,1,0,1,1,1,0,1,1.4250941526045229,2.2209502562909558,0,1,0,0,0,1,0,1.5400218681775957,7,3,1,0,0.4168,0.1867,0,Medium
0,1,0,0,-1.2419671042985652,1,0,0,0,0,0,0,0,0,0,-0.6951804961925321,-0.9713676099196664,1,0,0,0,0,1,0,-1.011479770229524,1,0,0,0,0.6284,0.136,0,High
0,1,1,0,0.8368470791260375,1,0,0,1,1,1,1,0,1,1,0.9694429731767632,1.1402925546699034,0,1,0,0,0,1,0,1.0184296768191865,5,3,1,0,0.2331,0.1721,0,Low
0,0,1,1,1.407501953007301,1,1,0,1,1,1,1,1,1,1,1.5797494799285428,2.2507522231588246,0,1,0,0,1,0,0,1.6237260902017585,7,3,1,1,0.0063,0.2536,0,Low
1,0,0,0,-1.2827281667186554,1,0,0,0,0,0,1,1,0,1,0.8214394878881845,-0.9694043419320716,0,1,0,0,0,1,0,-0.4728184826152073,3,0,0,0,0.9392,0.1473,1,High
0,0,0,1,-0.9158786049378432,0,0,1,1,0,1,0,0,1,0,-0.8182395738482043,-0.8273872710991023,1,0,0,0,0,0,1,-0.7150683487086661,3,0,0,0,0.0149,0.2178,0,Low
0,1,0,0,-0.9974007297780236,1,0,0,0,0,0,0,0,0,0,-1.5033793034987035,-0.936425851578656,0,0,1,0,0,1,0,-1.343342391666498,1,0,0,0,0.2611,0.1515,1,Low
1,1,0,0,0.9998913288063984,1,1,1,0,0,1,0,1,2,0,0.9611281706324613,1.472989271399143,0,1,0,0,0,1,0,1.2409844318481362,5,3,1,0,0.0783,0.1929,0,Low
1,1,1,0,1.6113072651077522,1,1,1,1,1,1,1,1,2,1,1.6662234263892857,2.607206688457046,0,1,0,1,0,0,0,1.742881512142037,8,3,1,1,0.0165,0.2394,0,Low
1,0,0,0,1.4482630154273912,1,1,1,1,1,0,0,1,1,1,0.4007104791464947,1.2071539622024805,1,0,0,0,1,0,0,0.4469432040973551,6,3,0,1,0.1088,0.153,0,Low
1,0,1,1,0.7145638918657667,0,0,1,0,0,0,1,0,0,1,-0.8448469419899711,-0.1171254434072811,1,0,0,0,1,0,0,-0.6418681859189082,2,3,0,1,0.0222,0.2404,0,Low
1,0,0,0,1.570546202687662,1,1,1,1,1,1,0,1,2,0,0.5237695568021665,1.509453113910311,1,0,0,1,0,0,0,0.6596504035940507,7,3,0,1,0.008,0.2167,0,Low
0,0,0,0,-1.2827281667186554,1,0,0,0,1,1,1,1,1,0,0.3075846906503099,-0.9762206319114732,1,0,0,0,1,0,0,-0.7265571634962963,5,0,0,1,0.1329,0.1817,0,Low
0,0,0,0,-0.0191352316958577,1,1,0,0,0,0,1,0,1,0,0.6385138319135366,0.2183948497535549,0,1,0,0,0,1,0,0.8244328328337744,3,2,0,0,0.4316,0.1318,1,Medium
0,0,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,-1.5083681850252848,-1.0003092683435333,0,0,1,0,0,0,1,-1.6226847169314482,1,0,0,0,0.6742,0.1649,1,High
0,0,1,0,0.5515196421854057,1,1,1,0,0,0,0,0,0,0,-0.327666223734376,0.0825543523647035,1,0,0,1,0,0,0,-0.2148125276701416,3,2,0,1,0.2867,0.1552,0,Low
0,0,1,0,1.4482630154273912,1,1,0,1,1,0,0,0,1,0,0.7183359363388377,1.533607927914986,0,1,0,0,1,0,0,0.7988291884499129,4,3,0,1,0.3413,0.1522,0,Medium
0,0,0,0,-0.3044626686364894,1,0,0,0,0,0,0,0,1,0,-1.4950645009544017,-0.7761878890855388,0,0,1,0,1,0,0,-1.276707265898243,1,2,0,1,0.0128,0.2274,0,Low
0,0,0,0,-1.2827281667186554,0,0,0,0,0,1,0,0,0,0,-1.1408539125671289,-0.9954341871608544,1,0,0,0,0,0,1,-1.4411614432868918,1,0,0,0,0.5635,0.1924,0,Medium
1,0,1,1,0.3884753925050447,1,0,0,0,0,0,0,0,2,0,-1.4684571328126343,-0.6432371457008998,0,0,1,0,0,0,1,-1.3098607028568328,1,2,0,0,0.0038,0.2439,0,Low
0,0,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,-1.5150200270607266,-1.0003975051070206,0,0,1,0,0,1,0,-1.6259672354421997,1,0,0,0,0.4501,0.1595,1,Medium
1,1,0,0,0.7145638918657667,1,1,1,1,0,0,1,0,0,1,0.1828626524857773,0.5152012629342946,1,0,0,1,0,0,0,0.2808477674533305,5,3,0,1,0.0405,0.2048,0,Low
1,0,1,0,1.6113072651077522,1,1,0,1,1,1,1,1,2,1,1.4483755997285688,2.3968061259213425,0,1,0,0,0,1,0,1.5285330533899657,7,3,1,0,0.1805,0.2368,0,Low
0,0,0,0,-1.2827281667186554,0,0,0,0,0,0,0,0,0,0,-1.318790687015195,-0.9977945205841424,1,0,0,0,0,0,1,-1.5291329393750313,0,0,0,0,0.5824,0.1861,1,Medium
0,1,1,0,0.918369203966218,1,0,0,0,1,1,1,0,2,0,0.7964950802552779,1.1111082451464462,0,1,0,0,1,0,0,0.8739988623461219,4,3,0,1,0.031,0.2127,0,Low
0,0,0,1,-0.4675069183168504,1,0,0,0,0,0,0,0,0,0,-1.466794172303774,-0.8094090305385446,0,0,1,0,0,0,1,-1.268172717770289,1,1,0,0,0.033,0.2184,0,Low
0,1,0,0,0.3884753925050447,1,1,0,0,1,0,0,0,0,0,-0.3060477371191903,0.0595245570944924,1,0,0,0,0,1,0,-0.0940158464744874,3,2,0,0,0.4274,0.1529,0,Medium
1,0,0,0,1.6113072651077522,1,0,0,0,0,0,0,0,2,1,-1.4983904219721222,-0.3609236209229655,0,0,1,0,1,0,0,-1.2822875473665205,1,3,0,1,0.0019,0.2661,0,Low
1,0,1,1,-0.5897901055771212,1,0,1,0,1,0,1,0,0,1,0.7665617910957905,-0.3469160347193409,0,1,0,0,0,0,1,0.649474596210721,4,1,0,0,0.0685,0.2008,0,Low
0,1,1,0,-1.2827281667186554,1,0,0,1,0,0,0,0,0,1,0.3840808740578904,-0.975205909131368,0,1,0,0,0,0,1,-0.6888082006226542,2,0,0,0,0.9217,0.1687,1,High
1,0,1,0,-1.201206041878475,1,0,0,0,0,0,0,0,0,1,-1.4734460143392158,-0.9863458005216522,0,0,1,0,1,0,0,-1.5228961542046036,1,0,0,1,0.0701,0.1904,1,Low
1,1,0,0,-1.201206041878475,1,1,0,0,1,0,1,0,0,0,0.8713283031539976,-0.881366111162519,0,1,0,0,0,1,0,0.4298741078414476,4,0,1,0,0.7952,0.1443,1,High
0,0,0,0,1.5297851402675715,1,1,1,1,1,0,1,1,2,0,0.6601323185287225,1.6342419566723654,1,0,0,0,0,0,1,0.8270588476423756,7,3,0,0,0.0115,0.2212,0,Low
1,0,1,0,1.3667408905872107,1,0,1,1,1,1,1,1,2,1,0.700043370741373,1.4596434609216735,1,0,0,1,0,0,0,0.798500936598838,7,3,0,1,0.0126,0.2031,0,Low
1,0,1,0,1.6113072651077522,1,1,0,0,0,0,0,0,2,0,-1.3121388449797535,-0.2540909595305967,0,0,1,0,0,0,1,-1.1733079328095717,2,3,0,0,0.0041,0.2599,0,Low
1,0,0,0,-0.3452237310565796,1,1,0,1,1,0,0,0,0,1,0.6651212000553035,-0.1050149476186354,0,1,0,1,0,0,0,0.7472936478311151,4,1,0,1,0.5293,0.1586,0,Medium
1,0,0,0,0.3884753925050447,1,1,1,1,1,0,0,1,1,1,1.135739024062807,0.8874942272785044,0,1,0,0,0,1,0,1.3384752316174549,6,2,1,0,0.1816,0.1936,0,Low
1,0,1,1,1.6113072651077522,1,1,1,1,1,1,1,1,2,1,0.8630135006096954,1.8136052376513765,1,0,0,0,1,0,0,0.9340689510928738,8,3,1,1,0.0024,0.235,0,Low
1,0,0,1,-0.4675069183168504,1,1,0,0,0,0,0,0,0,0,-1.3354202921037994,-0.8028133324678616,0,0,1,0,0,0,1,-1.245851591897179,2,1,0,0,0.0331,0.2056,0,Low
0,0,0,0,-0.1006573565360382,1,0,0,0,0,1,1,1,1,1,0.982746657247647,0.1549746759969866,0,1,0,1,0,0,0,0.8506929809197862,4,2,1,1,0.2881,0.1586,0,Low
1,0,1,0,0.918369203966218,1,0,1,0,0,0,0,1,1,0,-0.1796627384457972,0.3839049588650443,1,0,0,0,1,0,0,-0.0920463353680365,3,3,0,1,0.2163,0.1673,0,Low
1,1,1,0,0.8776081415461278,1,1,0,0,0,0,0,0,0,0,0.3042587696325893,0.7201532053246515,0,1,0,1,0,0,0,0.3963924190317827,2,3,0,1,0.2674,0.1762,0,Low
1,0,1,1,-0.6713122304173017,1,1,1,1,0,1,1,1,0,0,0.6667841605641643,-0.3920270800522738,1,0,0,0,0,1,0,0.7571412033633693,7,1,0,0,0.0563,0.1717,0,Low
1,0,1,0,-0.0191352316958577,1,1,0,0,1,0,0,0,0,1,0.4672288995009121,0.0710835731113416,0,1,0,0,0,1,0,0.4922419595457257,3,2,0,0,0.7782,0.1345,1,High
0,1,1,0,1.2036966409068497,1,1,1,0,1,0,1,1,1,1,1.3303054035994777,1.7762369683144623,0,1,0,0,0,1,0,1.3463532760432588,6,3,1,0,0.2996,0.1973,0,Low
1,0,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,-1.485086737901239,-1.0000004396713271,0,0,1,0,0,0,1,-1.611195902143818,1,0,0,0,0.5943,0.1783,1,Medium
